Name,Meaning,Date,Status
I riched the point,"undestand, realized",12/31/2017,
Witty,Остроумно,12/31/2017,
Shabby,Небрежно,12/31/2017,
Ingenious,Изобретатель,12/31/2017,
criterion,Критерий,12/31/2017,
On the internet,,12/31/2017,
realization,Осознание,12/31/2017,
Ducky,,12/31/2017,
I’d rather use,,12/31/2017,
The trend is go up,,12/31/2017,
Touch the wood,Постучать по дереву,12/31/2017,To use
My observation looks,,12/31/2017,
I’m snowed under,Быть очень занятым,12/31/2017,
Under the weather,Настроение не очень,12/31/2017,
Have influence on,Иметь влияние на,12/31/2017,
Dine and dash,Поел и беги,12/31/2017,
be on fad diet,,12/31/2017,
At my friends place () at my mom’s,На месте кого-то,12/31/2017,
To draw attention,,12/31/2017,
Counterpart,,12/31/2017,
to sneak up behind,Подкрасться сзади,12/31/2017,
Could you spare me a minute,,12/31/2017,
Get to see,Have a chance,12/31/2017,
be sacked,,12/31/2017,
Be made redundant,Будут уволены,12/31/2017,
Be laid off,Будут уволены,12/31/2017,
Feasible future,Выполнимый,12/31/2017,
get mind of the idea,Придумать идею,12/31/2017,To use
get off the ground,Оторваться от земли,12/31/2017,
Interfere in,Лезть,12/31/2017,
Interfere with,мешать,12/31/2017,
get alone with,,12/31/2017,
On time / in time,,12/31/2017,Ask
Rehab,реабилитироваться,12/31/2017,
Eye sighted,зрение,12/31/2017,
I reckon,Полагаю,12/31/2017,
bad apple,,12/31/2017,
Diminish,Уменьшить,12/31/2017,
I catch something,Уловил,12/31/2017,
tardy,запоздалый,12/31/2017,
Bad lack,,12/31/2017,
Lack of amth,,12/31/2017,To use
To be in the black,A lot profit,12/31/2017,
have you ever heard of this rest ,Overall,12/31/2017,
On no account,Ни при каких обстоятельствах,12/31/2017,
At first glance,,12/31/2017,
On the whole,,12/31/2017,
On second thought,Немного подумав,12/31/2017,
In some respect,В некотором отношении,12/31/2017,
As the matter of fact,,12/31/2017,
Up to now,,12/31/2017,
I’d like to find out,To know,12/31/2017,
I wonder if,,12/31/2017,
Seating on the fence,Бездействовать,12/31/2017,
Pet hate,Любимая ненависть,12/31/2017,
"Bother, makes mad, annoy, irritate,",,12/31/2017,
despise,Презрение,12/31/2017,
I catched something,Я заметил,12/31/2017,
candid,беспристрастный,12/31/2017,
jagged,Зазубрины,12/31/2017,
Come across,Натыкаться,7/31/2018,
Self delusion,Самообман,7/31/2018,
Eye to eye,Взаимопонимание,7/31/2018,
Binge,"Без остановок, запой",7/31/2018,
To be eager to do,Азарт,7/31/2018,
Impression on,Впечатление о,7/31/2018,
Clicked with someone,Perfect fit,7/31/2018,
genuine,Original подлинный,7/31/2018,
Downside,Disadvantage,7/31/2018,
Deteriorate,,7/31/2018,
Disturbing,Frustratiing annoing,7/31/2018,
Take up,Start,7/31/2018,
Kick off,"Начать, Start",7/31/2018,
To touch base,Поверхностное общение,7/31/2018,
Under slept,,7/31/2018,
Impose on,Наложить навязыват,7/31/2018,
It is likely to breakthrough in the future,,8/31/2018,
To have snow on the roof,"Седой, опытный",8/31/2018,
