Date,Category y,Value y,AVG Session Duration
29 Jun 2020,New Users,24,27
29 Jun 2020,Returned Users,14,27
30 Jun 2020,New Users,15,17
30 Jun 2020,Returned Users,12,17
1 Jul 2020,New Users,403,136
1 Jul 2020,Returned Users,53,136
2 Jul 2020,New Users,168,80
2 Jul 2020,Returned Users,49,80
3 Jul 2020,New Users,55,44
3 Jul 2020,Returned Users,27,44
4 Jul 2020,New Users,27,19
4 Jul 2020,Returned Users,12,19
5 Jul 2020,New Users,16,11
5 Jul 2020,Returned Users,7,11
6 Jul 2020,New Users,26,23
6 Jul 2020,Returned Users,18,23
7 Jul 2020,New Users,27,33
7 Jul 2020,Returned Users,26,33
8 Jul 2020,New Users,15,14
8 Jul 2020,Returned Users,5,14
9 Jul 2020,New Users,16,15
9 Jul 2020,Returned Users,12,15
10 Jul 2020,New Users,20,15
10 Jul 2020,Returned Users,6,15
11 Jul 2020,New Users,10,12
11 Jul 2020,Returned Users,9,12
12 Jul 2020,New Users,13,14
12 Jul 2020,Returned Users,5,14
13 Jul 2020,New Users,19,22
13 Jul 2020,Returned Users,13,22
14 Jul 2020,New Users,11,14
14 Jul 2020,Returned Users,13,14
15 Jul 2020,New Users,20,20
15 Jul 2020,Returned Users,12,20
16 Jul 2020,New Users,36,21
16 Jul 2020,Returned Users,7,21
17 Jul 2020,New Users,14,13
17 Jul 2020,Returned Users,11,13
18 Jul 2020,New Users,7,6
18 Jul 2020,Returned Users,2,6
